File Path	chrom://uu-fts-mto-2-pc/ChromeleonLocal/machine data/Ramon/Robin/Annemarie/20250428-Co10TiO2-20Bar-10Co_20H2_3Ar_7N2-410Red-220FTS/101-200-202504288-Co10TiO2-20Bar-10CO_20H2_3Ar_7N2-410Red-220FTS.seq/306.smp/FID.channel/FID.chm
Channel	FID

Injection Information:
Data Vault	ChromeleonLocal
Injection	20230523_AK001_CO2
Injection Number	5
Position	1
Comment	
Processing Method	PW 20220328 final_Angela_wip_Ni
Instrument Method	IM_new_FID_column PW_AMshort_isotherm_170C
Type	Unknown
Status	Finished
Injection Date	30-Apr-25
Injection Time	05:41:33
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	20.000000
Data Points	30001
Detector	GC
Generating Data System	Chromeleon 7.2.2.6909
Exporting Data System	Chromeleon 7.2.2.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	pA
Signal Min.	12.482787
Signal Max.	19.388502
Channel	FID
Driver Name	Trace1300Driver.dll
Channel Type	Evaluation
Min. Step (s)	0.04
Max. Step (s)	0.04
Average Step (s)	0.04

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.242000	0.04	13.055699
0.242667	0.04	13.061699
0.243333	0.04	13.067688
0.244000	0.04	13.054374
0.244667	0.04	13.058372
0.245333	0.04	13.048369
0.246000	0.04	13.016475
0.246667	0.04	13.031081
0.247333	0.04	12.998558
0.248000	0.04	12.976021
0.248667	0.04	12.979341
0.249333	0.04	12.959497
0.250000	0.04	12.953544
0.250667	0.04	12.931113
0.251333	0.04	12.935721
0.252000	0.04	12.914626
0.252667	0.04	12.908708
0.253333	0.04	12.913975
0.254000	0.04	12.916604
0.254667	0.04	12.919236
0.255333	0.04	12.922527
0.256000	0.04	12.881743
0.256667	0.04	12.894881
0.257333	0.04	12.858102
0.258000	0.04	12.882386
0.258667	0.04	12.865332
0.259333	0.04	12.874511
0.260000	0.04	12.905405
0.260667	0.04	12.920562
0.261333	0.04	12.927805
0.262000	0.04	12.933087
0.262667	0.04	12.940346
0.263333	0.04	12.979997
0.264000	0.04	12.983311
0.264667	0.04	12.971399
0.265333	0.04	12.948923
0.266000	0.04	12.976021
0.266667	0.04	12.983966
0.267333	0.04	12.989934
0.268000	0.04	12.977346
0.268667	0.04	13.005854
0.269333	0.04	13.017138
0.270000	0.04	12.955528
0.270667	0.04	12.973379
0.271333	0.04	12.986632
0.272000	0.04	12.991260
0.272667	0.04	12.988614
0.273333	0.04	12.960158
0.274000	0.04	12.979997
0.274667	0.04	12.950906
0.275333	0.04	12.974704
0.276000	0.04	12.985954
0.276667	0.04	12.995234
0.277333	0.04	12.997231
0.278000	0.04	13.005854
0.278667	0.04	13.029093
0.279333	0.04	13.017138
0.280000	0.04	13.011816
0.280667	0.04	12.992587
0.281333	0.04	13.010495
0.282000	0.04	12.955528
0.282667	0.04	12.945632
0.283333	0.04	12.954867
0.284000	0.04	12.970075
0.284667	0.04	12.956851
0.285333	0.04	12.927146
0.286000	0.04	12.946953
0.286667	0.04	12.975367
0.287333	0.04	12.964778
0.288000	0.04	12.939031
0.288667	0.04	12.962807
0.289333	0.04	12.973379
0.290000	0.04	12.983966
0.290667	0.04	12.985954
0.291333	0.04	12.997231
0.292000	0.04	12.996574
0.292667	0.04	12.992587
0.293333	0.04	12.987288
0.294000	0.04	12.970737
0.294667	0.04	12.972060
0.295333	0.04	12.948255
0.296000	0.04	13.004525
0.296667	0.04	13.008510
0.297333	0.04	12.978015
0.298000	0.04	12.967419
0.298667	0.04	12.994576
0.299333	0.04	12.964778
0.300000	0.04	12.972060
0.300667	0.04	12.933087
0.301333	0.04	12.964778
0.302000	0.04	12.953544
0.302667	0.04	12.954867
0.303333	0.04	12.954206
0.304000	0.04	12.947600
0.304667	0.04	12.962137
0.305333	0.04	12.946953
0.306000	0.04	12.935721
0.306667	0.04	12.961482
0.307333	0.04	12.939685
0.308000	0.04	12.910018
0.308667	0.04	12.909359
0.309333	0.04	12.924507
0.310000	0.04	12.884359
0.310667	0.04	12.911337
0.311333	0.04	12.895539
0.312000	0.04	12.932426
0.312667	0.04	12.923186
0.313333	0.04	12.923854
0.314000	0.04	12.935068
0.314667	0.04	12.942981
0.315333	0.04	12.921228
0.316000	0.04	12.961482
0.316667	0.04	12.913301
0.317333	0.04	12.951574
0.318000	0.04	12.958168
0.318667	0.04	12.961482
0.319333	0.04	12.969412
0.320000	0.04	12.950245
0.320667	0.04	12.993906
0.321333	0.04	12.988614
0.322000	0.04	13.021121
0.322667	0.04	13.022449
0.323333	0.04	13.055699
0.324000	0.04	13.057025
0.324667	0.04	13.087705
0.325333	0.04	13.083035
0.326000	0.04	13.059700
0.326667	0.04	13.055040
0.327333	0.04	13.061699
0.328000	0.04	13.061032
0.328667	0.04	13.079696
0.329333	0.04	13.077032
0.330000	0.04	13.061032
0.330667	0.04	13.089709
0.331333	0.04	13.056366
0.332000	0.04	13.087044
0.332667	0.04	13.064367
0.333333	0.04	13.055699
0.334000	0.04	13.036420
0.334667	0.04	13.006517
0.335333	0.04	12.997231
0.336000	0.04	12.977346
0.336667	0.04	12.939031
0.337333	0.04	12.936382
0.338000	0.04	12.950906
0.338667	0.04	12.970737
0.339333	0.04	12.976704
0.340000	0.04	12.997231
0.340667	0.04	12.970737
0.341333	0.04	12.993250
0.342000	0.04	12.997231
0.342667	0.04	13.003854
0.343333	0.04	12.958168
0.344000	0.04	13.005854
0.344667	0.04	12.977346
0.345333	0.04	12.975367
0.346000	0.04	12.970737
0.346667	0.04	12.964124
0.347333	0.04	12.980666
0.348000	0.04	12.989277
0.348667	0.04	13.009830
0.349333	0.04	13.007181
0.350000	0.04	13.006517
0.350667	0.04	12.966763
0.351333	0.04	12.974704
0.352000	0.04	12.976704
0.352667	0.04	13.001206
0.353333	0.04	12.997231
0.354000	0.04	13.006517
0.354667	0.04	13.023108
0.355333	0.04	13.048369
0.356000	0.04	13.065695
0.356667	0.04	13.114431
0.357333	0.04	13.117786
0.358000	0.04	13.125811
0.358667	0.04	13.097717
0.359333	0.04	13.087705
0.360000	0.04	13.065695
0.360667	0.04	13.047050
0.361333	0.04	13.056366
0.362000	0.04	13.046392
0.362667	0.04	13.029093
0.363333	0.04	13.061699
0.364000	0.04	13.052382
0.364667	0.04	13.071699
0.365333	0.04	13.081692
0.366000	0.04	13.085708
0.366667	0.04	13.117102
0.367333	0.04	13.115100
0.368000	0.04	13.141232
0.368667	0.04	13.183527
0.369333	0.04	13.160684
0.370000	0.04	13.177485
0.370667	0.04	13.158667
0.371333	0.04	13.180168
0.372000	0.04	13.153966
0.372667	0.04	13.176131
0.373333	0.04	13.159332
0.374000	0.04	13.159332
0.374667	0.04	13.136539
0.375333	0.04	13.119789
0.376000	0.04	13.128498
0.376667	0.04	13.141232
0.377333	0.04	13.137201
0.378000	0.04	13.093714
0.378667	0.04	13.061699
0.379333	0.04	13.084372
0.380000	0.04	13.065695
0.380667	0.04	13.042397
0.381333	0.04	13.070365
0.382000	0.04	13.052382
0.382667	0.04	13.079696
0.383333	0.04	13.056366
0.384000	0.04	13.036420
0.384667	0.04	13.037737
0.385333	0.04	13.022449
0.386000	0.04	13.038409
0.386667	0.04	13.019126
0.387333	0.04	13.051042
0.388000	0.04	13.046392
0.388667	0.04	13.049050
0.389333	0.04	13.037737
0.390000	0.04	13.049050
0.390667	0.04	13.036420
0.391333	0.04	13.079696
0.392000	0.04	13.059039
0.392667	0.04	13.081032
0.393333	0.04	13.068363
0.394000	0.04	13.125811
0.394667	0.04	13.106414
0.395333	0.04	13.092382
0.396000	0.04	13.106414
0.396667	0.04	13.091046
0.397333	0.04	13.087705
0.398000	0.04	13.069031
0.398667	0.04	13.077693
0.399333	0.04	13.051693
0.400000	0.04	13.082368
0.400667	0.04	13.061699
0.401333	0.04	13.005189
0.402000	0.04	13.009167
0.402667	0.04	12.993906
0.403333	0.04	12.993250
0.404000	0.04	12.991924
0.404667	0.04	12.981985
0.405333	0.04	12.977346
0.406000	0.04	12.976704
0.406667	0.04	13.029758
0.407333	0.04	13.009830
0.408000	0.04	13.029093
0.408667	0.04	13.027104
0.409333	0.04	13.019126
0.410000	0.04	13.031081
0.410667	0.04	12.989934
0.411333	0.04	12.970075
0.412000	0.04	12.973379
0.412667	0.04	13.008510
0.413333	0.04	12.982655
0.414000	0.04	12.985954
0.414667	0.04	12.958168
0.415333	0.04	12.971399
0.416000	0.04	12.964124
0.416667	0.04	12.964778
0.417333	0.04	12.944963
0.418000	0.04	12.962137
0.418667	0.04	12.962807
0.419333	0.04	12.966108
0.420000	0.04	12.952890
0.420667	0.04	12.946953
0.421333	0.04	12.955528
0.422000	0.04	12.958168
0.422667	0.04	12.931113
0.423333	0.04	12.927805
0.424000	0.04	12.931113
0.424667	0.04	12.931767
0.425333	0.04	12.950245
0.426000	0.04	12.879770
0.426667	0.04	12.906724
0.427333	0.04	12.906079
0.428000	0.04	12.933747
0.428667	0.04	12.912663
0.429333	0.04	12.913301
0.430000	0.04	12.909359
0.430667	0.04	12.912663
0.431333	0.04	12.923854
0.432000	0.04	12.927146
0.432667	0.04	12.896856
0.433333	0.04	12.894223
0.434000	0.04	12.867296
0.434667	0.04	12.885675
0.435333	0.04	12.871881
0.436000	0.04	12.877798
0.436667	0.04	12.886333
0.437333	0.04	12.913301
0.438000	0.04	12.904101
0.438667	0.04	12.877798
0.439333	0.04	12.864011
0.440000	0.04	12.886333
0.440667	0.04	12.869260
0.441333	0.04	12.902771
0.442000	0.04	12.902771
0.442667	0.04	12.921228
0.443333	0.04	12.930439
0.444000	0.04	12.920562
0.444667	0.04	12.936382
0.445333	0.04	12.946953
0.446000	0.04	12.941006
0.446667	0.04	12.956182
0.447333	0.04	12.951574
0.448000	0.04	12.960158
0.448667	0.04	12.929126
0.449333	0.04	12.964778
0.450000	0.04	12.949591
0.450667	0.04	12.938364
0.451333	0.04	12.937042
0.452000	0.04	12.904740
0.452667	0.04	12.910018
0.453333	0.04	12.935068
0.454000	0.04	12.942981
0.454667	0.04	12.951574
0.455333	0.04	12.944963
0.456000	0.04	12.947600
0.456667	0.04	12.984636
0.457333	0.04	12.996574
0.458000	0.04	12.979341
0.458667	0.04	12.987288
0.459333	0.04	13.015811
0.460000	0.04	13.000549
0.460667	0.04	12.956851
0.461333	0.04	12.987945
0.462000	0.04	12.968764
0.462667	0.04	13.011816
0.463333	0.04	12.994576
0.464000	0.04	13.015145
0.464667	0.04	12.972060
0.465333	0.04	13.007181
0.466000	0.04	12.989277
0.466667	0.04	13.006517
0.467333	0.04	12.982655
0.468000	0.04	13.003197
0.468667	0.04	12.970737
0.469333	0.04	13.008510
0.470000	0.04	12.974041
0.470667	0.04	12.963461
0.471333	0.04	13.005189
0.472000	0.04	12.998558
0.472667	0.04	12.981322
0.473333	0.04	13.002534
0.474000	0.04	12.985299
0.474667	0.04	13.001206
0.475333	0.04	12.994576
0.476000	0.04	12.981985
0.476667	0.04	12.964778
0.477333	0.04	12.983966
0.478000	0.04	13.005854
0.478667	0.04	12.985954
0.479333	0.04	12.979997
0.480000	0.04	12.981322
0.480667	0.04	12.954867
0.481333	0.04	12.947600
0.482000	0.04	12.966108
0.482667	0.04	12.973379
0.483333	0.04	12.986632
0.484000	0.04	12.996574
0.484667	0.04	12.965440
0.485333	0.04	12.952222
0.486000	0.04	12.980666
0.486667	0.04	12.963461
0.487333	0.04	12.946953
0.488000	0.04	12.942321
0.488667	0.04	12.941668
0.489333	0.04	12.954206
0.490000	0.04	12.956182
0.490667	0.04	12.933087
0.491333	0.04	12.953544
0.492000	0.04	12.955528
0.492667	0.04	12.975367
0.493333	0.04	12.972060
0.494000	0.04	12.985954
0.494667	0.04	12.981322
0.495333	0.04	12.988614
0.496000	0.04	13.003197
0.496667	0.04	13.010495
0.497333	0.04	13.019126
0.498000	0.04	12.978015
0.498667	0.04	12.985954
0.499333	0.04	12.978015
0.500000	0.04	12.945632
0.500667	0.04	12.950245
0.501333	0.04	12.931767
0.502000	0.04	12.952890
0.502667	0.04	12.940346
0.503333	0.04	12.908708
0.504000	0.04	12.892906
0.504667	0.04	12.941006
0.505333	0.04	12.924507
0.506000	0.04	12.920562
0.506667	0.04	12.947600
0.507333	0.04	12.939685
0.508000	0.04	12.960820
0.508667	0.04	12.957520
0.509333	0.04	12.953544
0.510000	0.04	12.948255
0.510667	0.04	12.971399
